ID,Title,Author,ReleaseDate
"76","Adventures of Huckleberry Finn","Mark Twain","June 29, 2004"
"77","The House of the Seven Gables","Nathaniel Hawthorne","August, 1993"
"78","Tarzan of the Apes","Edgar Rice Burroughs","August, 1993"
"80","The Online World","Odd De Presno","September 1, 1993"
"82","Ivanhoe","Walter Scott","September, 1993"
"83","From the Earth to the Moon; and, Round the Moon","Jules Verne","September 1, 1993"
"84","Frankenstein; Or, The Modern Prometheus","Mary Wollstonecraft Shelley","October 1, 1993"
"86","A Connecticut Yankee in King Arthur's Court","Mark Twain","July 7, 2004"
"8861","The Works of Lord Byron, Vol. 1. Poetry","Baron George Gordon Byron Byron","September 1, 2005"
"8901","The Works of Lord Byron: Letters and Journals. Vol. 1","Baron George Gordon Byron Byron","September 1, 2005"
"8909","The System of Nature, or, the Laws of the Moral and Physical World. Volume 1","baron d' Paul Henri Thiry Holbach","September 1, 2005"
"8954","Lady Audley's Secret","M. E. Braddon","September 1, 2005"
"9070","The Imaginary Invalid","Molière","September 2, 2003"
"9105","Reflections; or Sentences and Moral Maxims","François duc de La Rochefoucauld","October 1, 2005"
"9182","Villette","Charlotte Brontë","October 1, 2005"
"9296","Clarissa Harlowe; or the history of a young lady — Volume 1","Samuel Richardson","November 1, 2005"
"9334","The Spectator, Volume 1","Joseph Addison","November 1, 2005"
"95","The prisoner of Zenda","Anthony Hope","January 9, 2006"
"98","A Tale of Two Cities","Charles Dickens","January, 1994"
